id_estudiante,id_periodo,porcentaje_asistencia_periodo,tardanzas,retiros_tempranos
40,1,77,0,1
40,2,93,0,0
40,3,80,1,2
40,4,86,0,0
41,1,82,8,0
41,2,90,2,0
41,3,73,4,0
41,4,100,3,1
42,1,84,2,0
42,2,78,0,0
42,3,78,0,2
42,4,84,2,0
43,1,81,0,4
43,2,97,0,4
43,3,90,2,6
43,4,73,1,3
44,1,96,2,3
44,2,91,8,2
44,3,95,4,1
44,4,84,3,2
45,1,86,0,4
45,2,82,4,3
45,3,86,1,4
45,4,69,3,4
46,1,84,5,5
46,2,79,1,1
46,3,79,3,3
46,4,75,2,1
47,1,89,5,0
47,2,81,5,2
47,3,90,3,0
47,4,95,6,2
48,1,86,8,0
48,2,70,7,0
48,3,83,2,2
48,4,76,5,1
49,1,80,4,2
49,2,72,5,0
49,3,77,0,2
49,4,61,0,0
50,1,84,0,0
50,2,88,1,2
50,3,80,1,1
50,4,75,0,1
51,1,96,10,2
51,2,90,5,3
51,3,79,8,2
51,4,83,7,4
52,1,86,7,0
52,2,70,7,1
52,3,88,9,2
52,4,69,7,0
53,1,77,3,1
53,2,86,6,1
53,3,91,4,0
53,4,87,1,2
54,1,79,0,1
54,2,94,0,2
54,3,83,0,3
54,4,94,0,2
55,1,92,4,1
55,2,86,7,2
55,3,100,9,1
55,4,94,6,3
56,1,75,5,2
56,2,95,3,1
56,3,91,8,2
56,4,91,8,2
57,1,74,6,1
57,2,82,9,0
57,3,84,8,4
57,4,86,4,0
58,1,83,0,1
58,2,88,4,0
58,3,90,4,0
58,4,88,5,3
59,1,83,5,0
59,2,77,7,0
59,3,94,7,0
59,4,77,6,2
60,1,89,1,2
60,2,97,5,0
60,3,80,4,1
60,4,89,0,0
61,1,85,1,2
61,2,95,3,0
61,3,89,10,1
61,4,91,3,0
62,1,100,1,1
62,2,88,1,0
62,3,95,0,2
62,4,90,0,0
63,1,84,5,0
63,2,91,10,1
63,3,82,6,0
63,4,90,10,1
64,1,97,2,1
64,2,84,1,2
64,3,95,4,1
64,4,84,4,0
65,1,84,2,1
65,2,81,1,0
65,3,100,2,3
65,4,91,3,0
66,1,74,10,2
66,2,64,5,2
66,3,60,5,2
66,4,72,4,0
67,1,91,6,0
67,2,80,7,2
67,3,84,4,2
67,4,78,5,0
68,1,81,1,2
68,2,84,0,2
68,3,85,0,2
68,4,92,4,2
69,1,88,1,4
69,2,85,2,2
69,3,75,2,0
69,4,94,1,1
70,1,82,0,0
70,2,84,6,0
70,3,92,0,1
70,4,76,4,0
71,1,99,5,0
71,2,81,2,0
71,3,93,7,3
71,4,100,0,0
72,1,88,7,4
72,2,89,5,3
72,3,100,8,3
72,4,83,0,4
73,1,86,7,2
73,2,83,7,5
73,3,76,5,1
73,4,93,8,0
74,1,83,0,3
74,2,82,5,2
74,3,92,4,0
74,4,74,5,4
75,1,87,1,0
75,2,75,1,0
75,3,83,1,0
75,4,82,3,0
76,1,81,0,4
76,2,94,5,2
76,3,87,0,1
76,4,100,0,3
77,1,92,2,0
77,2,100,4,0
77,3,100,3,1
77,4,78,3,2
78,1,89,1,1
78,2,90,2,2
78,3,78,2,0
78,4,92,0,1
79,1,92,3,4
79,2,76,2,0
79,3,100,2,1
79,4,86,0,1
80,1,72,4,1
80,2,67,7,0
80,3,64,4,0
80,4,71,10,1
81,1,76,4,1
81,2,100,5,2
81,3,93,2,2
81,4,88,1,2
82,1,83,3,2
82,2,68,3,1
82,3,93,7,1
82,4,62,4,1
83,1,79,4,0
83,2,71,4,0
83,3,80,2,0
83,4,72,1,0
84,1,87,4,3
84,2,89,1,3
84,3,90,0,0
84,4,70,4,0
85,1,100,3,0
85,2,93,0,0
85,3,90,1,0
85,4,82,0,1
86,1,91,4,2
86,2,84,2,2
86,3,98,2,3
86,4,77,2,2
87,1,71,0,4
87,2,85,0,0
87,3,83,1,2
87,4,98,0,2
88,1,77,1,4
88,2,71,5,2
88,3,83,5,4
88,4,79,4,1
89,1,64,0,3
89,2,68,7,3
89,3,85,6,3
89,4,72,5,2
90,1,76,0,2
90,2,90,0,1
90,3,96,0,1
90,4,98,2,1
91,1,84,3,0
91,2,75,3,2
91,3,89,9,0
91,4,88,4,1
92,1,83,3,0
92,2,98,0,0
92,3,87,0,2
92,4,100,2,0
93,1,76,6,5
93,2,95,4,2
93,3,82,2,0
93,4,89,6,0
94,1,82,0,1
94,2,82,0,0
94,3,87,2,0
94,4,81,2,1
95,1,75,4,2
95,2,77,2,0
95,3,88,0,0
95,4,71,4,0
96,1,96,0,2
96,2,82,0,0
96,3,85,1,0
96,4,84,3,1
97,1,97,5,1
97,2,87,5,1
97,3,90,5,0
97,4,100,5,0
98,1,100,1,2
98,2,80,1,1
98,3,100,4,0
98,4,80,6,1
99,1,83,1,4
99,2,99,3,2
99,3,83,0,5
99,4,89,2,5
100,1,74,5,0
100,2,78,0,0
100,3,96,3,2
100,4,81,3,1
101,1,76,7,1
101,2,59,7,4
101,3,74,5,2
101,4,75,5,3
102,1,85,1,0
102,2,82,0,0
102,3,88,3,0
102,4,82,3,1
103,1,87,2,4
103,2,83,4,1
103,3,92,3,3
103,4,84,7,2
104,1,92,6,3
104,2,89,3,0
104,3,77,2,3
104,4,92,5,0
105,1,59,9,3
105,2,64,5,1
105,3,76,9,0
105,4,75,6,1
106,1,82,7,0
106,2,88,3,0
106,3,96,5,2
106,4,100,6,1
107,1,77,0,1
107,2,95,0,0
107,3,96,1,1
107,4,93,1,2
108,1,81,1,2
108,2,74,0,2
108,3,68,5,4
108,4,86,2,0
109,1,100,3,2
109,2,92,0,2
109,3,89,0,1
109,4,81,1,4
110,1,83,4,0
110,2,76,1,1
110,3,76,6,0
110,4,73,6,0
111,1,78,1,0
111,2,91,5,0
111,3,87,3,0
111,4,72,4,1
112,1,74,4,3
112,2,90,3,1
112,3,93,2,0
112,4,70,4,3
113,1,68,2,5
113,2,72,5,1
113,3,83,5,0
113,4,77,6,0
114,1,86,4,0
114,2,94,2,2
114,3,84,3,1
114,4,83,0,0
115,1,89,0,0
115,2,84,1,0
115,3,98,0,1
115,4,81,0,1
116,1,81,4,1
116,2,86,0,3
116,3,94,2,3
116,4,79,2,1
117,1,100,1,2
117,2,97,0,0
117,3,92,4,1
117,4,100,1,0
118,1,95,3,0
118,2,95,3,0
118,3,93,1,2
118,4,100,4,0
119,1,69,0,3
119,2,94,0,1
119,3,92,1,1
119,4,75,0,0
120,1,91,0,2
120,2,96,0,4
120,3,96,1,2
120,4,76,3,2
121,1,83,0,2
121,2,91,1,1
121,3,82,3,0
121,4,85,0,2
122,1,83,2,1
122,2,77,0,3
122,3,79,2,0
122,4,72,3,0
123,1,92,4,0
123,2,86,5,2
123,3,88,3,0
123,4,77,4,1
124,1,85,8,3
124,2,79,5,3
124,3,73,6,2
124,4,74,6,1
125,1,92,0,0
125,2,81,0,1
125,3,95,0,1
125,4,63,0,0
126,1,86,5,1
126,2,95,3,2
126,3,89,0,1
126,4,86,1,0
127,1,98,10,5
127,2,100,7,3
127,3,95,5,0
127,4,83,3,3
128,1,89,8,2
128,2,85,7,0
128,3,90,5,1
128,4,90,7,1
129,1,76,8,2
129,2,65,6,0
129,3,83,6,0
129,4,79,7,1
130,1,91,8,0
130,2,80,6,0
130,3,89,6,2
130,4,93,1,1
131,1,78,0,2
131,2,92,5,0
131,3,85,1,0
131,4,70,0,2
132,1,83,6,2
132,2,85,5,2
132,3,76,5,6
132,4,91,8,2
133,1,84,4,0
133,2,100,2,2
133,3,81,5,1
133,4,83,5,0
134,1,69,5,0
134,2,82,4,0
134,3,79,2,0
134,4,67,4,1
135,1,83,3,2
135,2,81,5,0
135,3,89,0,0
135,4,90,2,1
136,1,100,6,4
136,2,83,2,3
136,3,87,4,3
136,4,85,7,1
137,1,90,8,1
137,2,78,5,1
137,3,94,8,2
137,4,85,8,5
138,1,100,6,5
138,2,96,6,4
138,3,100,7,5
138,4,97,1,2
139,1,81,0,1
139,2,85,0,2
139,3,83,2,4
139,4,83,0,3
140,1,67,7,0
140,2,80,3,2
140,3,65,8,0
140,4,81,6,0
141,1,89,3,1
141,2,89,1,3
141,3,94,1,1
141,4,87,7,0
142,1,97,6,0
142,2,86,1,0
142,3,74,2,2
142,4,100,4,0
143,1,81,4,2
143,2,82,2,0
143,3,82,0,1
143,4,94,1,0
144,1,86,3,1
144,2,72,3,4
144,3,86,8,3
144,4,87,4,1
145,1,91,0,3
145,2,87,2,1
145,3,87,5,0
145,4,91,5,0
146,1,99,0,0
146,2,100,4,0
146,3,79,1,0
146,4,94,0,0
147,1,81,0,1
147,2,78,1,0
147,3,98,0,0
147,4,86,0,3
148,1,82,2,0
148,2,100,1,1
148,3,96,4,0
148,4,92,2,0
149,1,99,4,4
149,2,85,2,2
149,3,83,5,2
149,4,93,3,4
150,1,71,5,0
150,2,72,5,2
150,3,87,2,5
150,4,82,5,1
151,1,92,6,0
151,2,74,1,0
151,3,92,2,0
151,4,77,6,3
152,1,85,2,0
152,2,76,5,4
152,3,70,3,1
152,4,99,5,3
153,1,84,0,1
153,2,85,2,2
153,3,86,0,0
153,4,93,0,0
154,1,97,2,4
154,2,81,0,2
154,3,98,0,2
154,4,100,1,2
155,1,91,5,4
155,2,95,4,0
155,3,87,3,2
155,4,94,2,2
156,1,100,4,1
156,2,86,5,0
156,3,95,1,0
156,4,93,4,1
157,1,91,4,0
157,2,74,7,1
157,3,79,6,2
157,4,100,4,3
158,1,93,9,0
158,2,79,8,1
158,3,81,8,1
158,4,88,3,1
159,1,92,1,1
159,2,88,6,4
159,3,83,2,2
159,4,92,3,5
160,1,89,0,0
160,2,79,1,1
160,3,96,5,2
160,4,83,0,1
161,1,92,4,2
161,2,87,1,1
161,3,93,2,4
161,4,89,2,4
162,1,73,0,3
162,2,91,1,1
162,3,99,0,3
162,4,74,1,3
163,1,62,7,2
163,2,81,5,0
163,3,81,7,2
163,4,65,4,0
164,1,63,6,0
164,2,59,6,1
164,3,65,6,1
164,4,73,8,2
165,1,85,3,1
165,2,87,6,4
165,3,85,4,0
165,4,67,7,3
166,1,100,5,2
166,2,96,4,0
166,3,88,5,0
166,4,96,5,0
167,1,91,5,3
167,2,82,0,0
167,3,91,5,0
167,4,91,4,0
168,1,86,7,1
168,2,87,2,0
168,3,93,5,0
168,4,98,1,0
169,1,78,1,0
169,2,83,5,0
169,3,70,3,0
169,4,62,3,2
170,1,91,0,0
170,2,92,1,1
170,3,69,4,1
170,4,90,4,0
171,1,80,7,2
171,2,82,3,1
171,3,89,7,2
171,4,90,5,3
172,1,94,3,4
172,2,94,5,0
172,3,86,0,1
172,4,91,2,6
173,1,81,0,3
173,2,96,1,0
173,3,83,3,4
173,4,89,0,0
174,1,77,1,1
174,2,89,4,2
174,3,82,3,1
174,4,78,1,3
175,1,93,5,1
175,2,100,6,2
175,3,100,0,0
175,4,90,3,0
176,1,80,5,4
176,2,87,7,4
176,3,74,2,1
176,4,77,6,2
177,1,80,2,0
177,2,75,8,0
177,3,80,7,0
177,4,69,2,2
178,1,85,5,4
178,2,94,2,1
178,3,95,1,4
178,4,84,0,3
179,1,81,0,0
179,2,100,3,2
179,3,87,0,4
179,4,97,0,3
180,1,92,5,3
180,2,85,5,1
180,3,74,5,2
180,4,93,4,2
181,1,100,5,3
181,2,87,4,0
181,3,94,2,2
181,4,100,3,1
182,1,87,4,3
182,2,100,2,1
182,3,90,0,1
182,4,89,3,3
183,1,69,5,1
183,2,76,10,1
183,3,65,7,0
183,4,80,8,0
184,1,79,4,1
184,2,99,7,0
184,3,91,5,0
184,4,93,3,0
185,1,98,6,0
185,2,88,2,3
185,3,95,4,2
185,4,83,6,1
186,1,92,2,1
186,2,80,4,0
186,3,84,4,1
186,4,88,3,0
187,1,89,7,0
187,2,97,2,0
187,3,90,6,0
187,4,79,8,1
188,1,81,6,3
188,2,97,2,0
188,3,81,5,0
188,4,78,3,0
189,1,77,4,0
189,2,84,4,0
189,3,92,4,2
189,4,100,1,0
190,1,88,7,1
190,2,94,5,2
190,3,76,9,3
190,4,85,4,5
191,1,78,3,1
191,2,90,5,0
191,3,89,4,0
191,4,76,3,0
192,1,80,3,5
192,2,77,5,0
192,3,82,1,2
192,4,76,3,0
193,1,86,6,3
193,2,100,5,0
193,3,100,1,0
193,4,71,7,0
194,1,71,2,3
194,2,74,6,1
194,3,79,6,1
194,4,77,4,1
195,1,94,2,0
195,2,92,3,0
195,3,81,4,0
195,4,80,1,0
196,1,87,0,4
196,2,85,0,3
196,3,77,4,1
196,4,89,3,4
197,1,76,8,1
197,2,79,8,3
197,3,72,4,1
197,4,86,10,3
198,1,76,6,1
198,2,65,10,0
198,3,86,7,1
198,4,77,2,4
199,1,87,4,0
199,2,90,2,0
199,3,83,0,0
199,4,93,0,0
200,1,87,6,1
200,2,97,5,0
200,3,97,6,0
200,4,82,1,1
201,1,86,7,1
201,2,100,5,0
201,3,99,6,1
201,4,91,5,0
202,1,96,4,0
202,2,94,2,0
202,3,88,2,0
202,4,77,2,3
203,1,82,4,2
203,2,91,7,2
203,3,94,3,1
203,4,86,3,1
204,1,88,2,4
204,2,86,3,0
204,3,95,5,4
204,4,94,0,1
205,1,73,2,0
205,2,93,5,0
205,3,85,7,1
205,4,81,3,1
206,1,93,4,1
206,2,83,4,2
206,3,100,4,0
206,4,97,0,0
207,1,94,1,0
207,2,83,0,2
207,3,80,0,0
207,4,99,1,1
208,1,87,6,5
208,2,75,7,4
208,3,97,8,3
208,4,75,8,2
209,1,86,3,3
209,2,90,5,0
209,3,81,5,1
209,4,93,0,5
210,1,80,9,3
210,2,84,1,2
210,3,79,7,1
210,4,65,4,0
211,1,77,8,0
211,2,81,6,0
211,3,80,6,1
211,4,73,6,0
212,1,100,4,3
212,2,96,3,2
212,3,86,3,0
212,4,92,1,1
213,1,82,7,3
213,2,99,6,0
213,3,100,4,3
213,4,100,4,0
214,1,76,5,0
214,2,70,6,1
214,3,75,4,1
214,4,84,6,2
215,1,69,7,0
215,2,76,5,0
215,3,75,5,2
215,4,88,9,0
216,1,80,2,0
216,2,88,2,1
216,3,82,0,3
216,4,88,1,4
217,1,86,2,0
217,2,100,5,0
217,3,88,2,0
217,4,96,1,1
218,1,71,7,0
218,2,62,5,1
218,3,67,6,1
218,4,68,4,0
219,1,99,2,2
219,2,96,1,3
219,3,92,4,5
219,4,84,4,2
220,1,96,0,0
220,2,99,5,0
220,3,100,1,1
220,4,91,1,0
221,1,79,4,0
221,2,98,0,0
221,3,93,4,3
221,4,76,0,3
222,1,74,2,0
222,2,77,0,2
222,3,70,2,0
222,4,86,2,0
223,1,80,2,1
223,2,77,5,1
223,3,86,6,0
223,4,79,6,3
224,1,67,8,3
224,2,83,6,0
224,3,72,8,1
224,4,83,7,0
225,1,72,4,1
225,2,72,3,2
225,3,66,3,1
225,4,94,5,0
226,1,73,0,3
226,2,83,0,2
226,3,82,0,3
226,4,89,4,4
227,1,73,0,4
227,2,87,2,0
227,3,83,4,0
227,4,91,2,0
228,1,79,3,0
228,2,81,2,1
228,3,75,2,0
228,4,82,4,1
229,1,99,6,2
229,2,91,2,0
229,3,74,3,2
229,4,92,5,2
230,1,95,0,2
230,2,73,1,1
230,3,85,3,1
230,4,90,3,0
231,1,100,5,2
231,2,96,0,1
231,3,92,4,0
231,4,100,6,0
232,1,75,0,4
232,2,80,3,2
232,3,93,2,2
232,4,96,3,3
233,1,94,6,1
233,2,93,7,1
233,3,94,8,2
233,4,99,7,1
234,1,86,6,1
234,2,79,3,1
234,3,77,0,4
234,4,86,4,0
235,1,85,4,1
235,2,74,5,0
235,3,81,1,0
235,4,83,4,1
236,1,96,3,4
236,2,82,2,2
236,3,92,0,0
236,4,84,2,0
237,1,97,3,0
237,2,75,6,3
237,3,91,6,1
237,4,79,1,2
238,1,92,3,4
238,2,94,2,0
238,3,100,3,0
238,4,86,3,0
239,1,100,1,0
239,2,90,0,2
239,3,90,3,1
239,4,89,5,0
240,1,86,5,1
240,2,77,3,1
240,3,70,1,1
240,4,67,8,0
241,1,92,2,1
241,2,97,6,0
241,3,86,0,3
241,4,87,4,2
242,1,100,2,0
242,2,84,1,1
242,3,85,4,0
242,4,88,5,1
243,1,84,6,1
243,2,83,4,0
243,3,78,4,0
243,4,88,5,0
244,1,92,0,0
244,2,76,0,0
244,3,100,0,0
244,4,78,4,3
245,1,87,10,1
245,2,88,6,0
245,3,87,6,1
245,4,90,8,2
246,1,100,8,0
246,2,77,6,1
246,3,80,6,1
246,4,81,9,0
247,1,96,6,3
247,2,84,2,2
247,3,91,2,1
247,4,94,0,2
248,1,93,6,1
248,2,95,3,2
248,3,90,5,2
248,4,92,2,0
249,1,89,0,3
249,2,85,1,1
249,3,84,0,1
249,4,90,3,1
250,1,100,2,0
250,2,86,3,3
250,3,86,0,2
250,4,94,4,2
251,1,100,2,1
251,2,91,1,0
251,3,83,0,0
251,4,93,3,0
252,1,76,2,4
252,2,88,0,1
252,3,82,0,5
252,4,90,2,1
253,1,97,4,1
253,2,89,3,0
253,3,92,0,0
253,4,84,3,1
254,1,79,4,0
254,2,89,10,1
254,3,96,8,0
254,4,89,4,0
255,1,80,4,0
255,2,89,5,1
255,3,82,3,3
255,4,75,6,0
256,1,99,5,1
256,2,90,10,0
256,3,93,5,4
256,4,91,10,4
257,1,76,4,3
257,2,83,0,0
257,3,96,3,3
257,4,82,0,2
258,1,86,4,1
258,2,100,5,0
258,3,91,6,2
258,4,86,1,0
259,1,78,0,0
259,2,94,2,0
259,3,92,2,1
259,4,89,0,0
260,1,72,10,0
260,2,88,6,0
260,3,97,6,3
260,4,100,1,1
261,1,89,6,2
261,2,80,8,3
261,3,82,9,1
261,4,81,6,0
262,1,100,4,1
262,2,71,1,2
262,3,86,3,2
262,4,87,3,3
263,1,90,1,0
263,2,98,0,0
263,3,82,1,2
263,4,87,0,0
264,1,88,2,6
264,2,100,3,0
264,3,99,4,1
264,4,90,0,0
265,1,84,1,2
265,2,92,0,0
265,3,100,3,1
265,4,100,1,1
266,1,82,5,0
266,2,88,5,0
266,3,83,1,0
266,4,100,2,0
267,1,94,5,0
267,2,86,5,0
267,3,95,3,4
267,4,92,5,0
268,1,90,8,2
268,2,84,4,0
268,3,90,4,0
268,4,98,5,3
269,1,80,8,3
269,2,76,6,4
269,3,82,7,4
269,4,62,3,2
270,1,93,6,1
270,2,100,6,2
270,3,67,1,1
270,4,82,7,4
271,1,100,1,3
271,2,76,0,0
271,3,94,1,1
271,4,87,0,1
272,1,85,4,1
272,2,77,1,1
272,3,83,4,0
272,4,80,1,1
273,1,96,7,2
273,2,79,5,0
273,3,95,6,3
273,4,73,3,3
274,1,90,3,1
274,2,96,2,2
274,3,82,0,4
274,4,96,3,0
275,1,73,6,0
275,2,72,8,3
275,3,68,5,0
275,4,76,2,4
276,1,95,6,1
276,2,92,7,2
276,3,94,10,2
276,4,89,6,1
277,1,91,1,3
277,2,80,7,0
277,3,86,4,0
277,4,81,4,1
278,1,89,2,2
278,2,88,1,3
278,3,87,1,4
278,4,83,1,3
279,1,93,0,1
279,2,85,1,0
279,3,89,0,1
279,4,92,4,0
280,1,82,1,1
280,2,67,5,2
280,3,77,3,1
280,4,83,4,1
281,1,91,5,1
281,2,89,1,2
281,3,84,1,0
281,4,87,6,1
282,1,79,1,3
282,2,95,2,1
282,3,86,5,1
282,4,93,2,1
283,1,84,2,0
283,2,74,1,0
283,3,86,3,0
283,4,91,0,2
284,1,100,3,5
284,2,86,4,5
284,3,88,1,1
284,4,89,0,5
285,1,93,2,5
285,2,94,0,2
285,3,90,4,3
285,4,85,0,0
286,1,83,1,2
286,2,74,3,6
286,3,99,4,3
286,4,93,4,0
287,1,99,3,0
287,2,82,2,1
287,3,91,2,1
287,4,89,1,4
288,1,85,4,0
288,2,92,2,2
288,3,87,2,0
288,4,98,0,0
289,1,84,6,0
289,2,75,5,0
289,3,97,3,0
289,4,91,6,0
290,1,82,0,0
290,2,89,5,0
290,3,88,0,2
290,4,84,1,2
291,1,83,4,1
291,2,93,0,1
291,3,76,0,1
291,4,80,0,0
292,1,92,5,1
292,2,95,7,0
292,3,85,5,2
292,4,92,5,1
293,1,79,7,0
293,2,91,8,1
293,3,90,6,2
293,4,80,4,0
294,1,86,0,4
294,2,78,5,2
294,3,86,1,4
294,4,96,5,1
295,1,86,5,3
295,2,77,4,2
295,3,85,3,2
295,4,93,1,2
296,1,82,3,0
296,2,79,5,1
296,3,77,4,1
296,4,70,5,1
297,1,88,1,0
297,2,67,5,1
297,3,67,2,3
297,4,88,2,0
298,1,86,4,0
298,2,77,4,0
298,3,67,2,0
298,4,74,4,1
299,1,97,2,0
299,2,83,1,0
299,3,84,2,1
299,4,85,5,0
300,1,88,3,1
300,2,79,5,0
300,3,87,7,1
300,4,97,4,2
301,1,100,3,2
301,2,84,0,1
301,3,92,6,2
301,4,87,2,3
302,1,86,5,3
302,2,72,3,0
302,3,71,2,4
302,4,78,5,3
303,1,82,4,0
303,2,72,6,4
303,3,78,6,0
303,4,65,3,2
304,1,95,4,0
304,2,77,4,0
304,3,80,5,2
304,4,89,5,3
305,1,92,6,2
305,2,77,1,5
305,3,96,6,5
305,4,91,6,0
306,1,78,0,1
306,2,83,1,2
306,3,92,2,0
306,4,100,0,2
307,1,87,4,0
307,2,77,5,1
307,3,67,8,0
307,4,68,5,0
308,1,82,3,0
308,2,91,0,2
308,3,100,0,0
308,4,95,2,0
309,1,97,0,2
309,2,77,3,2
309,3,86,1,0
309,4,100,1,0
310,1,85,1,3
310,2,93,2,3
310,3,90,2,0
310,4,97,0,3
311,1,95,2,1
311,2,78,1,6
311,3,100,7,2
311,4,95,3,3
312,1,75,4,0
312,2,90,4,0
312,3,74,6,0
312,4,62,4,3
313,1,95,0,0
313,2,100,1,0
313,3,91,4,0
313,4,94,2,0
314,1,93,3,0
314,2,89,1,0
314,3,90,0,1
314,4,91,2,0
315,1,83,1,0
315,2,90,0,0
315,3,82,0,3
315,4,98,2,0
316,1,91,1,4
316,2,85,1,3
316,3,79,1,2
316,4,84,3,3
317,1,100,13,3
317,2,89,4,0
317,3,90,5,2
317,4,89,7,2
318,1,78,0,1
318,2,89,0,0
318,3,96,2,0
318,4,85,4,0
319,1,80,1,0
319,2,78,6,0
319,3,79,3,0
319,4,78,5,0
320,1,79,7,5
320,2,72,5,2
320,3,96,7,0
320,4,88,3,5
321,1,96,10,2
321,2,89,8,1
321,3,93,8,1
321,4,68,7,4
322,1,92,2,1
322,2,95,0,0
322,3,90,5,0
322,4,83,5,1
323,1,64,6,1
323,2,83,1,0
323,3,90,4,0
323,4,89,4,0
324,1,91,3,2
324,2,97,6,2
324,3,93,5,0
324,4,91,2,4
325,1,72,4,0
325,2,66,5,0
325,3,72,6,1
325,4,74,6,2
326,1,83,4,0
326,2,98,5,1
326,3,78,5,2
326,4,80,3,0
327,1,77,4,3
327,2,84,9,2
327,3,90,4,2
327,4,75,5,4
328,1,92,4,2
328,2,86,4,0
328,3,91,5,1
328,4,98,7,0
329,1,85,3,0
329,2,67,5,0
329,3,91,6,1
329,4,73,8,0
330,1,80,0,0
330,2,77,1,0
330,3,91,5,0
330,4,97,3,1
331,1,92,7,0
331,2,95,5,1
331,3,89,4,2
331,4,91,7,0
332,1,78,1,0
332,2,89,4,0
332,3,96,1,0
332,4,91,7,1
333,1,89,4,2
333,2,91,2,2
333,3,76,4,1
333,4,86,5,1
334,1,83,0,0
334,2,92,1,2
334,3,99,3,0
334,4,87,4,2
335,1,90,4,1
335,2,99,7,0
335,3,91,0,0
335,4,89,0,3
336,1,74,6,0
336,2,67,7,1
336,3,80,5,1
336,4,94,6,2
337,1,66,9,2
337,2,52,7,1
337,3,70,10,0
337,4,80,4,0
338,1,82,9,3
338,2,78,7,4
338,3,82,5,2
338,4,92,7,5
339,1,74,6,3
339,2,91,5,2
339,3,77,5,4
339,4,88,3,1
340,1,93,6,0
340,2,92,8,0
340,3,95,3,0
340,4,92,6,0
341,1,81,7,3
341,2,84,4,0
341,3,57,4,0
341,4,57,5,1
342,1,94,1,0
342,2,100,3,0
342,3,86,0,1
342,4,99,2,0
343,1,66,4,2
343,2,81,3,3
343,3,94,6,1
343,4,68,3,1
344,1,78,6,0
344,2,89,4,3
344,3,93,2,3
344,4,68,4,0
345,1,84,5,1
345,2,76,5,0
345,3,93,5,2
345,4,68,7,1
346,1,94,1,1
346,2,98,0,2
346,3,85,0,3
346,4,78,3,0
347,1,76,6,4
347,2,83,3,6
347,3,93,0,5
347,4,61,4,4
348,1,76,0,0
348,2,86,5,1
348,3,85,0,2
